-150 1 57.48031496 2.551136772
-115 1 66.11295681 2.84462832
-110 1 69.20473773 2.953321828
-105 1 71.52658662 3.036181861
-100 1 73.61111111 3.111471863
-95 1 75.74692443 3.189495179
-90 1 77.30496454 3.246973372
-85 1 78.89087657 3.305965595
-80 1 80.18018018 3.354285484
-75 1 80.8318264 3.378830571
-70 1 82.48175182 3.441346167
-65 1 84.16206262 3.505556475
-60 1 84.84288355 3.531728918
-55 1 86.56716418 3.5984167
-49 1 87.96992481 3.653094602
-45 1 88.67924528 3.68088817
-40 1 90.11406844 3.737407248
-35 1 91.57088123 3.79520021
-30 1 92.67822736 3.839404215
-25 1 93.79844961 3.884363522
-20 1 94.17475728 3.899520801
23 1 108.3333333 4.489687037
105 1 140.9638554 5.997130782
110 1 145.7002457 6.233034112
115 1 148.1389578 6.356190994
120 1 150 6.450949692
125 1 151.8891688 6.547826556
130 1 153.164557 6.613619591
135 1 155.1020408 6.714171057
140 1 156.4102564 6.782476282
145 1 158.3979328 6.886892947
150 1 160.4166667 6.993725418
155 1 163.1578947 7.140058463
160 1 164.5502646 7.214944897
170 1 168.0965147 7.407374781
180 1 170.2702703 7.526536784
190 1 175.4820937 7.815982191
200 1 180.1120448 8.077544361
210 1 182.4858757 8.213268546
220 1 189.017341 8.592371643
225 1 189.8550725 8.641597382
230 1 191.5451895 8.741326538
235 1 193.255132 8.84279257
240 1 194.9852507 8.946036479
245 1 196.735905 9.051100486
250 1 197.6190476 9.104328566
255 1 198.5074627 9.158028079
260 1 201.2048193 9.322012057
265 1 197.6190476 9.104328566
