50 100 0
53 110 0
60 118 0
70 126 0
80 130 0
90 131 0
100 129 0
110 126 0 
120 120 0
127 110 0
128 100 0
125 90 0
120 80 0
110 74 0
100 70 0
90 68 0
80 69 0
70 71 0
57 80 0
53 90 0
50 100 0

140 180 0
140 170 0
140 160 0
140 150 0
140 140 0
140 130 0
140 120 0
140 110 0
140 100 0
140 90 0
140 80 0
140 70 0
140 60 0
140 50 0
140 40 0
140 30 0

150 100 0
152 110 0
160 120 0
170 126 0
180 130 0
190 130 0
200 128 0
210 126 0
220 120 0
230 100 0
228 110 0
229 90 0
223 80 0
210 70 0
200 67 0
190 65 0
180 67 0
170 71 0
160 80 0
151 90 0
150 100 0

149 100 0
150 110 0
156 120 0
160 125 0
170 130 0
180 132 0
190 134 0
200 136 0
210 134 0
220 132 0
230 131 0
240 127 0
250 120 0
260 113 0
270 100 0
260 87 0
250 80 0
240 73 0
230 69 0
220 64 0
210 62 0
200 64 0
190 66 0
180 68 0
170 70 0
160 75 0
156 80 0
150 90 0
149 100 0
