150 100 0
151 110 0
152 120 0
152 130 0
155 140 0
162 143 0
170 142 0
180 140 0
190 133 0
195 130 0
200 124 0
210 110 0
213 100 0
210 90 0
200 76 0
195 70 0
190 62 0
180 60 0
170 58 0
162 57 0
155 60 0
152 70 0
152 80 0
151 90 0
150 100 0

150 100 0
151 110 0
152 120 0
152 130 0
155 140 0
162 145 0
170 147 0
180 146 0
190 141 0
200 135 0
207 130 0
213 125 0
218 120 0
223 110 0
228 100 0
223 90 0
218 80 0
213 75 0
207 70 0
200 65 0
190 59 0
180 54 0
170 53 0
162 55 0
155 60 0
152 70 0
152 80 0
151 90 0
150 100 0

52 110 0
58 120 0
67 130 0
80 137 0
90 140 0
100 144 0
110 146 0
120 144 0
128 140 0
129 130 0
129 120 0
129 110 0
129 100 0
129 90 0
129 80 0
129 70 0
128 60 0
120 56 0
110 54 0
100 56 0
90 60 0
80 63 0
67 70 0
58 80 0
52 90 0
50 100 0
52 110 0

90 100 0
95 110 0
98 120 0
104 130 0
110 135 0
118 140 0 
126 135 0
128 130 0
128 120 0
128 110 0
128 100 0
128 90 0
128 80 0
128 70 0
126 65 0
118 60 0
110 65 0
104 70 0
98 80 0
95 90 0
90 100 0
